国家,中国
指标名称,湖北:工业增加值:可比价:规模以上工业企业:当月同比
频率,月
单位,%
指标ID,M0004456
时间区间,2000-01:2025-03
来源,国家统计局
更新时间,20250417
2000/1/31,7.7
2000/2/29,12
2000/3/31,11.8
2000/4/30,13.3
2000/5/31,13.5
2000/6/30,14.5
2000/7/31,12
2000/8/31,10.9
2000/9/30,11.5
2000/10/31,12.1
2000/11/30,10.9
2000/12/31,10.8
2001/1/31,9.8
2001/2/28,20.3
2001/3/31,11.1
2001/4/30,11.6
2001/5/31,12.2
2001/6/30,12.6
2001/7/31,9.8
2001/8/31,9.3
2001/9/30,10.6
2001/10/31,9.9
2001/11/30,14.5
2001/12/31,12.4
2002/1/31,20.6
2002/2/28,6.6
2002/3/31,12.7
2002/4/30,11.3
2002/5/31,12.8
2002/6/30,12.8
2002/7/31,12.9
2002/8/31,11.6
2002/9/30,12.7
2002/10/31,12.5
2002/11/30,12.5
2002/12/31,13.1
2003/1/31,10.4
2003/2/28,14.5
2003/3/31,14.4
2003/4/30,12.3
2003/5/31,11.2
2003/6/30,12
2003/7/31,13.9
2003/8/31,12
2003/9/30,12
2003/10/31,12
2003/11/30,13.2
2003/12/31,14.8
2004/1/31,12.1
2004/2/29,26.6
2004/3/31,29.8
2004/4/30,27
2004/5/31,22.4
2004/6/30,23.4
2004/7/31,19.9
2004/8/31,25.4
2004/9/30,24.3
2004/10/31,21.9
2004/11/30,25.5
2004/12/31,22
2005/1/31,37.6
2005/2/28,13.6
2005/3/31,16
2005/4/30,14.5
2005/5/31,18.2
2005/6/30,20.6
2005/7/31,19.2
2005/8/31,18
2005/9/30,18.3
2005/10/31,18.1
2005/11/30,19.8
2005/12/31,19.7
2006/1/31,10
2006/2/28,23.8
2006/3/31,22.3
2006/4/30,21.6
2006/5/31,23.9
2006/6/30,25.7
2006/7/31,19
2006/8/31,16.1
2006/9/30,19.5
2006/10/31,16.8
2006/11/30,16.5
2006/12/31,20.4
2007/1/31,#N/A
2007/2/28,13.8
2007/3/31,18.1
2007/4/30,21
2007/5/31,19.9
2007/6/30,23
2007/7/31,16.5
2007/8/31,24.2
2007/9/30,27.2
2007/10/31,27.6
2007/11/30,27.4
2007/12/31,28.6
2008/1/31,#N/A
2008/2/29,18.3
2008/3/31,25.6
2008/4/30,24.4
2008/5/31,24.9
2008/6/30,25.4
2008/7/31,25.5
2008/8/31,24.4
2008/9/30,18.7
2008/10/31,10.3
2008/11/30,10.1
2008/12/31,10
2009/1/31,#N/A
2009/2/28,14.8
2009/3/31,15.6
2009/4/30,15.4
2009/5/31,15.6
2009/6/30,17.7
2009/7/31,17.5
2009/8/31,19.1
2009/9/30,21.8
2009/10/31,26.7
2009/11/30,27
2009/12/31,26.7
2010/1/31,#N/A
2010/2/28,26.3
2010/3/31,26.1
2010/4/30,27.4
2010/5/31,26.5
2010/6/30,25.1
2010/7/31,21
2010/8/31,18.7
2010/9/30,18.6
2010/10/31,23.5
2010/11/30,22
2010/12/31,22.8
2011/1/31,#N/A
2011/2/28,20
2011/3/31,21.5
2011/4/30,18.8
2011/5/31,18
2011/6/30,20.9
2011/7/31,21.6
2011/8/31,21.3
2011/9/30,20.9
2011/10/31,18
2011/11/30,19.9
2011/12/31,21.4
2012/1/31,#N/A
2012/2/29,27
2012/3/31,16.9
2012/4/30,11.9
2012/5/31,11.7
2012/6/30,15.9
2012/7/31,13.7
2012/8/31,12.9
2012/9/30,11.8
2012/10/31,14.9
2012/11/30,14.3
2012/12/31,15.2
2013/1/31,#N/A
2013/2/28,#N/A
2013/3/31,10.4
2013/4/30,10.7
2013/5/31,10.6
2013/6/30,9.8
2013/7/31,11.8
2013/8/31,14.1
2013/9/30,12.8
2013/10/31,13.2
2013/11/30,13.7
2013/12/31,12.3
2014/1/31,#N/A
2014/2/28,#N/A
2014/3/31,12
2014/4/30,11.6
2014/5/31,11.7
2014/6/30,11
2014/7/31,10.6
2014/8/31,8
2014/9/30,11.4
2014/10/31,9.7
2014/11/30,9.2
2014/12/31,10.3
2015/1/31,#N/A
2015/2/28,#N/A
2015/3/31,7
2015/4/30,7.3
2015/5/31,7.2
2015/6/30,8.5
2015/7/31,8.1
2015/8/31,8.7
2015/9/30,8.5
2015/10/31,8.9
2015/11/30,8.9
2015/12/31,8.8
2016/1/31,#N/A
2016/2/29,#N/A
2016/3/31,8.8
2016/4/30,8
2016/5/31,7.8
2016/6/30,8.3
2016/7/31,8.3
2016/8/31,8.4
2016/9/30,7.7
2016/10/31,7.6
2016/11/30,7
2016/12/31,8.7
2017/1/31,#N/A
2017/2/28,#N/A
2017/3/31,8.1
2017/4/30,7.6
2017/5/31,8.7
2017/6/30,8.9
2017/7/31,8.1
2017/8/31,7.1
2017/9/30,7.7
2017/10/31,5.6
2017/11/30,4.7
2017/12/31,6.5
2018/1/31,#N/A
2018/2/28,#N/A
2018/3/31,7.5
2018/4/30,7.2
2018/5/31,7.9
2018/6/30,8
2018/7/31,7
2018/8/31,8.9
2018/9/30,8.1
2018/10/31,3.7
2018/11/30,4.4
2018/12/31,5.5
2019/1/31,#N/A
2019/2/28,#N/A
2019/3/31,9.7
2019/4/30,9.6
2019/5/31,6.6
2019/6/30,7.9
2019/7/31,7
2019/8/31,6.4
2019/9/30,8
2019/10/31,5
2019/11/30,6.2
2019/12/31,7.8
2020/1/31,#N/A
2020/2/29,#N/A
2020/3/31,-46.9
2020/4/30,-2.4
2020/5/31,2
2020/6/30,2
2020/7/31,2.2
2020/8/31,4.9
2020/9/30,6.2
2020/10/31,9.3
2020/11/30,6.1
2020/12/31,7.9
2021/1/31,#N/A
2021/2/28,#N/A
2021/3/31,90.3
2021/4/30,10.1
2021/5/31,3
2021/6/30,1.5
2021/7/31,1.3
2021/8/31,-3.1
2021/9/30,-2.3
2021/10/31,5.4
2021/11/30,11.2
2021/12/31,10.7
2022/1/31,#N/A
2022/2/28,#N/A
2022/3/31,9.1
2022/4/30,5.4
2022/5/31,5.5
2022/6/30,8.1
2022/7/31,5.8
2022/8/31,8.5
2022/9/30,8
2022/10/31,5.9
2022/11/30,2
2022/12/31,7.7
2023/1/31,#N/A
2023/2/28,#N/A
2023/3/31,3.5
2023/4/30,-5.4
2023/5/31,-2.4
2023/6/30,3.6
2023/7/31,5.8
2023/8/31,6.2
2023/9/30,6.5
2023/10/31,6.6
2023/11/30,5.5
2023/12/31,5.6
2024/1/31,#N/A
2024/2/29,#N/A
2024/3/31,7.2
2024/4/30,7.5
2024/5/31,7.6
2024/6/30,8.6
2024/7/31,8.3
2024/8/31,8.7
2024/9/30,8.1
2024/10/31,3.9
2024/11/30,7.6
2024/12/31,7.5
2025/1/31,#N/A
2025/2/28,#N/A
2025/3/31,8.4
,
数据来源：Wind,
