国家,中国
指标名称,中国:GDP:现价:累计值
频率,季
单位,亿元
指标ID,M0000001
时间区间,1952-12:2025-03
来源,国家统计局
更新时间,20250416
2018/6/30,433777.7
2018/9/30,672574.5
2018/12/31,936010.1
2019/3/31,221453.9
2019/6/30,467647.8
2019/9/30,723671
2019/12/31,1005872.4
2020/3/31,209671.1
2020/6/30,463121.1
2020/9/30,733031.4
2020/12/31,1034867.6
2021/3/31,255055.2
2021/6/30,543034.4
2021/9/30,840996.2
2021/12/31,1173823
2022/3/31,277175.8
2022/6/30,576287.3
2022/9/30,891687
2022/12/31,1234029.4
2023/3/31,292368.8
2023/6/30,608606.3
2023/9/30,937047
2023/12/31,1294271.7
2024/3/31,304761.8
2024/6/30,633599.4
2024/9/30,975357.4
2024/12/31,1349083.5
2025/3/31,318758
,
数据来源：Wind,
