Frequency,Market,Model,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Win Rate (%)
daily,GDEA,Buy&Hold,-39.08027559685947,-4.461764766771081,58.99409787683384,0.18237474227886163,0.23525151361090818,-0.05068349100622135,-88.03191489361703,44.36860068259386
daily,GDEA,Base,60.87864795203157,8.05781949877915,26.48492497203565,0.37911962832677476,0.5611744989062969,0.29119302697316546,-27.671746066645024,23.373838456040026
daily,GDEA,Sentiment,176.0859772324295,18.000469214286152,31.862843534625807,0.6687103115798442,0.9905311635717415,0.4933610532232783,-36.48538752032329,29.23516797712652
daily,HBEA,Buy&Hold,67.80008193363376,4.8078411373723595,43.47599550557156,0.2836214155919356,0.37409391240786627,0.07617829369687963,-63.113006396588474,46.04182225541449
daily,HBEA,Base,-15.427194673913892,-2.689251386088831,33.73889496897954,0.01884189464056107,0.02683463596508242,-0.055464057103404026,-48.486380667666346,25.73266619013581
daily,HBEA,Sentiment,17.82819478307751,2.705070201222748,31.01369140972811,0.18449975344888134,0.2698303927217612,0.06871290340078166,-39.367717958952895,23.65975696926376
weekly,GDEA,Buy&Hold,90.52380952380952,6.426713796400496,123.24701393416468,0.853790274946657,1.1317787753923731,0.08519012098283295,-75.43966040024257,52.918287937743195
weekly,GDEA,Base,102.13170319039779,13.400497448457216,39.68771281977633,1.9259829235788886,3.1789888594853486,0.43399215088246595,-30.87728066327713,29.880478087649404
weekly,GDEA,Sentiment,89.42392130338122,12.09232194166825,45.2033962763491,1.5950843282295384,2.6728037074199387,0.3239848288079576,-37.323728972618,33.067729083665334
weekly,HBEA,Buy&Hold,60.04132231404957,4.562396588444662,93.93138351277739,0.689580391576762,0.9836537649756315,0.07265460320639616,-62.79569892473117,46.27151051625239
weekly,HBEA,Base,88.54561787891737,11.955961399037962,69.67315920511689,1.206679227465004,2.1412574767720893,0.2762476760857479,-43.27986236281244,23.904382470119522
weekly,HBEA,Sentiment,59.93187568970515,8.722026258168846,83.5921970398173,0.9529165103780828,1.4085185572077796,0.19615064673492547,-44.465957178084864,29.880478087649404
