date,close,vwap,volume_tons,turnover_cny,cum_turnover_cny,is_open,is_quiet,has_trade
2014-04-28,24.43,24.49,57357.0,1404897.41,2051655.0,True,False,True
2014-04-29,24.41,24.25,62994.0,1527794.05,2114649.0,True,False,True
2014-04-30,24.38,24.36,83552.0,2034943.25,2198201.0,True,False,True
2014-05-01,24.38,24.36,0.0,0.0,2198201.0,False,False,False
2014-05-02,24.38,24.36,0.0,0.0,2198201.0,False,False,False
2014-05-03,24.38,24.36,0.0,0.0,2198201.0,False,False,False
2014-05-04,24.38,24.36,0.0,0.0,2198201.0,False,False,False
2014-05-05,24.11,24.19,50770.0,1228302.7,2248971.0,True,False,True
2014-05-06,24.1,23.83,42494.0,1012618.86,2291465.0,True,False,True
2014-05-07,23.85,23.77,43426.0,1032285.43,2334891.0,True,False,True
2014-05-08,23.73,23.73,45483.0,1079319.05,2380374.0,True,False,True
2014-05-09,23.71,23.73,38590.0,915799.34,2418964.0,True,False,True
2014-05-10,23.71,23.73,0.0,0.0,2418964.0,False,False,False
2014-05-11,23.71,23.73,0.0,0.0,2418964.0,False,False,False
2014-05-12,23.57,23.62,35890.0,847551.72,2454854.0,True,False,True
2014-05-13,23.67,23.6,70038.0,1652712.86,2524892.0,True,False,True
2014-05-14,23.82,23.72,75370.0,1787696.5,2600262.0,True,False,True
2014-05-15,24.3,24.01,46567.0,1118144.74,2646829.0,True,False,True
2014-05-16,23.82,23.96,41991.0,1006103.52,2688820.0,True,False,True
2014-05-17,23.82,23.96,0.0,0.0,2688820.0,False,False,False
2014-05-18,23.82,23.96,0.0,0.0,2688820.0,False,False,False
2014-05-19,23.88,23.95,45736.0,1095170.12,2734556.0,True,False,True
2014-05-20,23.95,24.03,36258.0,871285.75,2770814.0,True,False,True
2014-05-21,23.83,23.81,49062.0,1168394.39,2819876.0,True,False,True
2014-05-22,24.17,24.31,39071.0,949944.16,2858947.0,True,False,True
2014-05-23,23.93,23.9,43977.0,1051265.81,2902924.0,True,False,True
2014-05-24,23.93,23.9,0.0,0.0,2902924.0,False,False,False
2014-05-25,23.93,23.9,0.0,0.0,2902924.0,False,False,False
2014-05-26,24.1,23.89,53045.0,1267466.7,2955969.0,True,False,True
2014-05-27,23.88,23.89,42235.0,1008861.0,2998204.0,True,False,True
2014-05-28,23.94,23.89,39347.0,939923.47,3037551.0,True,False,True
2014-05-29,24.23,23.71,49285.0,1168704.98,3086836.0,True,False,True
2014-05-30,23.9,23.91,42430.0,1014494.78,3129266.0,True,False,True
2014-05-31,23.9,23.91,0.0,0.0,3129266.0,False,False,False
2014-06-01,23.9,23.91,0.0,0.0,3129266.0,False,False,False
2014-06-02,23.9,23.91,0.0,0.0,3129266.0,False,False,False
2014-06-03,23.93,23.93,38890.0,930708.54,3168156.0,True,False,True
2014-06-04,24.0,23.98,40311.0,966504.34,3208467.0,True,False,True
2014-06-05,23.88,23.94,37699.0,902551.34,3246166.0,True,False,True
2014-06-06,23.81,23.62,46743.0,1104261.59,3292909.0,True,False,True
2014-06-07,23.81,23.62,0.0,0.0,3292909.0,False,False,False
2014-06-08,23.81,23.62,0.0,0.0,3292909.0,False,False,False
2014-06-09,23.83,23.73,40005.0,949124.48,3332914.0,True,False,True
2014-06-10,23.59,23.68,51044.0,1208899.52,3383958.0,True,False,True
2014-06-11,23.68,23.64,69436.0,1641755.91,3453394.0,True,False,True
2014-06-12,23.47,23.52,42191.0,992438.91,3495585.0,True,False,True
2014-06-13,22.24,23.39,42435.0,992720.5,3538020.0,True,False,True
2014-06-14,22.24,23.39,0.0,0.0,3538020.0,False,False,False
2014-06-15,22.24,23.39,0.0,0.0,3538020.0,False,False,False
2014-06-16,23.32,23.39,42312.0,989599.3,3580332.0,True,False,True
2014-06-17,22.85,22.86,55305.0,1264088.88,3635637.0,True,False,True
2014-06-18,22.84,22.89,43208.0,989033.81,3678845.0,True,False,True
2014-06-19,22.96,22.92,49128.0,1125832.9,3727973.0,True,False,True
2014-06-20,22.92,22.92,35251.0,808087.61,3763224.0,True,False,True
2014-06-21,22.92,22.92,0.0,0.0,3763224.0,False,False,False
2014-06-22,22.92,22.92,0.0,0.0,3763224.0,False,False,False
2014-06-23,22.91,22.91,52329.0,1198842.7,3815553.0,True,False,True
2014-06-24,22.87,23.11,37453.0,865396.44,3853006.0,True,False,True
2014-06-25,22.91,23.05,41431.0,954991.58,3894437.0,True,False,True
2014-06-26,22.68,22.73,50022.0,1136789.88,3944459.0,True,False,True
2014-06-27,22.63,22.62,42155.0,953669.31,3986614.0,True,False,True
2014-06-28,22.63,22.62,0.0,0.0,3986614.0,False,False,False
2014-06-29,22.63,22.62,0.0,0.0,3986614.0,False,False,False
2014-06-30,22.68,22.74,62454.0,1420091.62,4049068.0,True,False,True
2014-07-01,22.83,22.78,33999.0,774384.26,4083067.0,True,False,True
2014-07-02,22.94,22.91,52073.0,1192931.73,4135140.0,True,False,True
2014-07-03,22.82,22.88,52724.0,1206175.51,4187864.0,True,False,True
2014-07-04,22.73,22.76,44752.0,1018543.69,4232616.0,True,False,True
2014-07-05,22.73,22.76,0.0,0.0,4232616.0,False,False,False
2014-07-06,22.73,22.76,0.0,0.0,4232616.0,False,False,False
2014-07-07,22.93,22.95,38383.0,880997.29,4270999.0,True,False,True
2014-07-08,23.25,23.22,37879.0,879542.2,4308878.0,True,False,True
2014-07-09,23.24,23.25,47742.0,1109811.15,4356620.0,True,False,True
2014-07-10,23.29,23.28,36873.0,858467.95,4393493.0,True,False,True
2014-07-11,23.8,23.64,41097.0,971328.91,4434590.0,True,False,True
