,HBEA_mean,HBEA_std,GDEA_mean,GDEA_std
CFETS_SpotFX_USD_CNY_ffill_daily_1,6.736870750840493,0.3458721357091545,6.744644575113808,0.3428404111742471
China_CPI_YoY_ffill_daily_15,1.5995344817463304,1.121460678675077,1.5915922087155965,1.127721982569992
China_ElectricityGeneration_ThermalPower_Monthly_ffill_daily_15,4396.4208343997,796.6369441495268,4410.440809250765,794.6507369416247
China_GDP_CurrentPrices_Cumulative_ffill_daily_15,595725.4654497554,323459.78507248336,602812.479472477,320952.5267155647
China_ManufacturingPMI_ffill_daily_15,50.20895747083177,1.6240551947749764,50.20500764525993,1.6362649721897065
China_Output_Cement_Monthly_ffill_daily_15,20161.142752773805,2436.410944500989,20129.058740107033,2437.9630268036085
China_Output_CrudeOilProcessing_Monthly_ffill_daily_15,52750094.09108017,6890602.844375295,52944113.1498471,6765338.760474598
China_Output_CrudeSteel_Monthly_ffill_daily_15,7832.252461527663,974.3957186928077,7845.97657873815,975.7225502901279
China_Output_RawCoal_Monthly_ffill_daily_15,33571.24830711328,4366.657804919564,33624.314507645264,4379.897677791122
China_TotalElectricityConsumption_Monthly_ffill_daily_15,61607248.503610276,13310338.968598185,61877491.72289468,13236206.540855668
China_TotalSocialFinancing_Monthly_ffill_daily_15,22101.065249147912,13516.694092986721,22188.723381875385,13599.670746657479
FuturesClose(Cont)_NYMEX_NatGas_ffill_daily_1,3.2067609264101606,1.3630027714315478,3.185335735963581,1.362509560626406
FuturesSettle(Cont)_BrentCrude_ffill_daily_1,68.39640642510273,19.430288296873783,67.74353945371776,18.854532835746163
FuturesSettle(Cont)_EUA_Futures_ffill_daily_1,35.7831341053418,30.30648969634751,36.257173748103185,30.30009597397403
Guangdong_ElectricityConsumption_Monthly_ffill_daily_15,,,5836672.534693043,1466465.9747112766
Guangdong_GDP_Cumulative_ffill_daily_15,,,63253.43403669725,33796.03489998064
Guangdong_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,,,5.519877675840979,3.431993570843092
Hubei_ElectricityConsumption_Monthly_ffill_daily_15,1842728.7087997743,441961.3058911946,,
Hubei_GDP_Cumulative_ffill_daily_15,25196.603663680842,14383.826259637863,,
Hubei_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,7.178547233722243,8.889669218953497,,
close,30.6569764837626,11.140129797291062,35.79062547384382,23.0550177950925
cum_turnover_cny,56246505.94550205,28374355.097340673,2348536068.3718195,2027084075.0390973
gap_days,1.5027995520716686,1.1408840896904424,1.5034116755117513,1.1430602623384332
turnover_cny,1025612.6516200074,2192842.473692778,2158874.9195981803,4934221.636399025
volume_tons,37044.316162747295,74031.73939658648,78440.77520849128,194592.79771481003
vwap,30.47193319634192,11.086104512756311,35.28591623161486,23.26649776941024
